id,label
4293,0.000714
10861,0.999920
9580,0.000012
9065,0.010837
7863,0.000002
4860,0.999999
4962,1.000000
11464,0.993668
7584,0.999789
8685,0.000165
7405,0.000097
2706,0.139206
2075,0.000825
4703,0.000000
11695,0.000000
397,1.000000
2504,0.999999
5483,0.000000
11466,0.000008
1534,0.000200
6438,0.999995
5879,0.000006
8045,0.999976
11296,0.999936
1443,0.999933
10716,0.000142
10496,1.000000
7695,0.999877
613,0.000737
7718,0.015476
2993,0.248124
278,0.000449
12318,1.000000
3893,0.263103
10670,0.000094
1301,1.000000
4725,0.000283
2559,1.000000
10594,1.000000
10132,0.000007
11673,1.000000
8410,0.036130
5292,0.992242
9184,1.000000
10012,0.000009
7385,0.000091
1366,1.000000
4022,0.000070
4465,0.999566
954,0.344790
5296,0.000041
9790,0.007283
7047,0.843485
11948,0.000122
5745,0.000154
8973,0.788132
8218,0.004549
11396,0.000000
11010,0.999982
2570,0.999817
5887,0.303002
2319,1.000000
7521,0.994056
3527,0.999994
8021,0.999968
3018,0.998208
10884,0.000000
11023,1.000000
4992,0.999991
3963,0.001137
7907,1.000000
2156,0.042574
3627,0.999996
2642,1.000000
4304,0.999938
8459,0.002669
8480,0.000000
565,1.000000
29,0.824498
1587,0.175870
10416,0.000000
2373,0.999997
7800,1.000000
7317,0.000216
9989,0.999998
11893,0.004193
1349,0.019088
1119,0.000000
4737,0.998789
3658,0.999992
3537,0.352297
50,0.000019
3000,0.994065
6782,0.000000
9322,0.852396
1688,0.987557
5978,0.391920
3423,0.000140
1547,0.999555
1502,0.000003
5974,0.000044
11842,0.002188
730,1.000000
1236,0.999991
7039,0.010061
1897,0.000003
12266,0.973742
9941,1.000000
4184,0.000218
9455,0.000000
8551,0.988548
12438,1.000000
1164,0.032042
3972,0.997849
8277,0.001209
352,1.000000
6831,1.000000
8270,0.000005
3191,0.000007
2574,0.000332
8601,1.000000
7237,0.999990
365,1.000000
11001,1.000000
4478,0.640780
5942,0.000044
6826,0.000001
3785,0.997506
11686,0.986867
3080,0.000070
4781,0.000001
4545,0.002847
7220,0.999999
11629,0.999247
5715,0.999970
2405,0.000018
6100,0.016359
5906,0.001586
8405,0.000072
3985,1.000000
12218,0.000000
3071,0.002474
8847,0.986394
12130,0.000727
10465,0.999999
2052,0.999660
9603,0.004573
7196,0.000000
10623,0.000015
10877,0.003250
1069,0.007101
6735,0.970165
2471,0.997263
6234,0.044173
2621,0.000000
3163,0.000001
1593,0.803491
1726,1.000000
3081,0.011346
4017,0.096669
10125,0.041316
6514,0.999999
5938,0.942953
12316,0.999998
5301,0.356156
10009,0.000191
10961,0.999999
11437,0.998486
5234,1.000000
8098,1.000000
6173,0.175069
9920,1.000000
2146,1.000000
6848,0.000000
11478,1.000000
1800,1.000000
520,0.000004
9362,0.984634
3787,1.000000
1938,0.999762
6763,0.951997
8605,0.000002
5629,0.999999
4061,0.000006
7266,0.000000
3096,0.914341
11409,0.000003
6326,0.000066
4213,0.041522
5699,0.000001
5358,0.997128
3042,0.000004
5316,0.000000
1771,0.001546
5019,0.990409
10925,0.997666
7965,0.017213
5772,1.000000
7181,1.000000
7562,0.999992
4742,0.000000
4999,1.000000
8810,0.000086
49,1.000000
673,0.000379
3002,0.999598
9795,0.000014
8460,0.153716
9659,1.000000
5683,0.000000
6446,1.000000
4676,1.000000
10981,0.992925
6560,0.960378
9411,0.003711
11650,1.000000
3157,1.000000
3197,0.000548
2197,1.000000
2769,0.000213
4561,0.000006
5625,0.999977
3976,0.000191
12375,0.999998
4336,0.999996
2583,1.000000
9510,1.000000
5679,0.000004
3336,0.936508
6021,0.018941
3916,0.035649
5125,0.033897
12491,0.997959
1824,0.000104
1140,0.000011
10462,0.999945
2179,1.000000
11654,1.000000
2844,1.000000
5231,0.999995
3469,1.000000
2313,1.000000
7215,0.000434
7597,0.001635
2853,0.000000
3441,1.000000
4305,0.159319
7945,0.999991
7997,0.000083
3289,0.000117
342,0.018109
1250,0.999990
8222,0.000002
11519,0.996489
832,1.000000
4200,0.104566
10780,0.000178
8399,1.000000
9150,0.000009
4735,0.046945
5006,0.000137
8050,0.239448
3867,0.999964
11995,0.007003
4161,0.999848
10624,0.000010
5716,0.004243
9682,0.000000
5567,1.000000
22,0.003236
6275,0.000000
10656,1.000000
3802,0.998659
5595,0.022087
5825,0.999809
10715,1.000000
5034,0.000002
10664,0.000025
12405,0.009492
7413,1.000000
5827,0.205812
6394,0.999983
3303,0.999996
10533,0.005124
10904,0.997305
5345,0.000004
533,0.000000
11376,0.000274
10800,0.055751
9028,0.001305
8063,0.002666
11829,1.000000
9709,0.090729
7500,0.519818
8855,1.000000
6152,0.000000
3286,0.000000
4216,0.999752
8607,0.438841
1070,1.000000
3547,0.000109
974,1.000000
11438,0.999989
6651,1.000000
9794,0.000000
5328,1.000000
3604,0.000321
2766,0.999999
9291,1.000000
6435,1.000000
6611,0.999976
10534,1.000000
10933,0.000220
7778,0.000058
1123,0.000000
11953,0.999975
4129,0.582440
8483,1.000000
9314,0.027815
5520,1.000000
3016,0.999996
5253,0.993239
634,0.000000
4054,0.999676
8495,0.029123
9945,0.010706
5425,0.999858
4143,0.999954
1118,0.000000
10535,0.011474
279,0.000001
10563,0.999558
2306,1.000000
12471,0.999999
12086,1.000000
7198,0.999944
7310,0.000001
12380,0.999972
8094,0.001436
3259,0.071168
1941,1.000000
11938,0.999999
11085,0.998486
5673,0.000296
433,1.000000
4342,0.999999
7368,1.000000
6755,0.000000
5778,0.972125
9341,0.999941
6967,0.930727
4460,0.090748
804,0.000000
11865,0.001034
3661,0.999583
3054,0.001370
8813,0.000216
3177,0.000000
4958,0.022636
6327,1.000000
10606,1.000000
11029,0.715255
500,0.001582
1308,0.950723
8418,0.157513
969,1.000000
7813,0.999923
803,0.000449
10788,1.000000
8482,0.613108
6074,0.000007
2036,0.000102
10600,1.000000
2076,0.222733
125,0.000792
7670,0.000335
4212,0.005382
8936,1.000000
12048,1.000000
6405,0.000000
7098,0.999954
2595,0.360999
9613,1.000000
5130,1.000000
11598,0.999262
10464,1.000000
6,0.000088
8561,1.000000
10423,0.000000
4481,0.001366
11696,0.999125
9115,1.000000
7883,0.000003
8938,0.999990
2946,0.999999
1780,0.000518
11404,0.000758
1755,1.000000
8174,0.999988
11151,1.000000
2573,1.000000
946,0.999998
8038,0.000000
8373,0.000589
11314,0.999892
5482,0.004377
967,0.000000
1200,0.998981
9216,0.000407
5680,1.000000
10200,0.000000
7,0.000000
7585,1.000000
6798,0.000001
11879,0.999997
2965,0.000000
154,0.000004
7752,1.000000
2317,0.000011
853,0.996916
9891,0.999207
186,0.000072
9233,1.000000
4863,0.002342
6835,0.999999
772,0.024524
9741,0.000074
2798,0.992720
5943,0.994422
6343,0.002023
11312,1.000000
8108,1.000000
5867,0.000037
2629,0.999969
4367,1.000000
1990,1.000000
11791,0.979744
9419,1.000000
7761,0.000027
5315,0.999969
1311,0.042332
2539,0.999651
409,0.072526
6600,1.000000
7930,0.144015
11685,0.166600
6525,0.998940
12162,0.008757
4979,0.995396
4843,0.988276
7459,0.000186
7050,0.005906
7658,0.999997
3589,0.001714
233,0.000026
2793,0.000000
11580,0.998560
6192,0.999833
12224,0.000029
2502,0.000508
5968,0.998431
5463,1.000000
11160,0.000040
9844,0.999842
8338,0.000001
7842,0.572768
4577,1.000000
2489,1.000000
2214,1.000000
9761,0.015065
2086,1.000000
8767,0.996492
7335,0.000000
7936,0.000002
3043,1.000000
6309,0.999934
8073,0.043094
3575,0.000323
1552,0.000072
8935,0.999999
11755,0.000009
11337,0.729386
12084,0.000039
5508,1.000000
2117,0.985200
1218,0.000016
991,0.000010
2650,0.020400
7339,0.001812
9946,0.823877
2365,0.999952
3214,0.001984
6481,0.999737
3494,0.967064
3342,0.001767
8236,0.001368
4916,0.100824
5752,1.000000
1846,0.999963
11936,0.000093
7129,0.079143
12432,1.000000
9234,0.991214
2475,0.000043
6306,0.844187
7514,0.045362
11447,0.000000
8467,0.999988
66,0.993744
11737,0.057272
1384,0.983775
2654,0.283783
7404,0.999164
5913,0.024138
12018,0.000143
296,1.000000
4137,0.000002
3489,0.040802
12335,0.089130
8940,0.898585
1334,0.939817
8026,0.000001
10429,0.999006
4108,0.999901
5243,0.999991
5155,1.000000
2443,0.000050
3487,0.193278
7619,0.000000
11439,1.000000
8745,1.000000
7922,1.000000
2490,0.999543
9004,0.979091
637,1.000000
4839,0.000276
12477,1.000000
9609,0.000058
11142,0.008171
5993,0.851290
9063,0.625599
9958,0.000000
5935,1.000000
9368,0.000024
176,0.999923
8638,0.891276
6415,0.949734
10463,0.001659
2565,0.259918
11054,1.000000
7537,0.987680
6630,0.905991
7374,0.999984
6437,0.000014
10440,0.000007
9333,0.999976
10130,0.029224
6232,0.999978
6900,0.000000
10686,0.000013
11965,0.019046
4647,1.000000
6694,0.000081
2009,1.000000
10211,0.000000
8825,0.000007
3548,0.000000
9818,1.000000
9601,0.000120
8043,1.000000
12451,0.000000
2355,0.951327
12171,0.000000
3703,0.000396
6865,0.000001
4869,0.000000
2461,0.000001
2315,0.674081
457,0.970075
6310,0.335366
4111,0.014774
10590,0.000000
8818,1.000000
5158,0.999999
3224,1.000000
11596,0.017707
3964,0.007044
6789,0.000000
9882,0.911297
9261,0.999786
9560,0.999961
6376,0.000005
9687,1.000000
423,1.000000
11858,0.000000
1529,1.000000
10922,0.000001
12055,0.999818
9825,0.030162
8693,1.000000
8065,0.999978
